valasa,kaarmi,andolana,poli,svastha,road,dharna,kooli,nirasana,vyaktham,asanthrupthi,baitayi,vethanalu,vetha,baadha,url,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058545/531/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058545/531/n/1-05-2020,success
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058535/531/n/1-05-2020,success
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058535/531/n/1-05-2020,success
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058414/531/n/1-05-2020,success
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058414/531/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,https://www.eenadu.net/archivespage/districtnewsdetails/120058312/531/n/1-05-2020,success
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058304/531/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058305/531/n/1-05-2020,success
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058301/531/n/1-05-2020,success
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058300/531/n/1-05-2020,success
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058299/531/n/1-05-2020,success
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076025/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076021/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076017/531/d/1-05-2020,success
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076015/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076011/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076009/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220076004/531/d/1-05-2020,success
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075998/531/d/1-05-2020,success
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075996/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075994/531/d/1-05-2020,success
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075992/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/220075991/531/d/1-05-2020,success
1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,https://www.eenadu.net/archivespage/districtnewsdetails/220075850/531/d/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058262/528/n/1-05-2020,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/districtnewsdetails/120058259/528/n/1-05-2020,success
