valasa,kaarmi,andolana,poli,svastha,road,dharna,kooli,nirasana,vyaktham,asanthrupthi,baitayi,vethanalu,vetha,baadha,url,status
1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075840/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075838/1-05-2020/ts,success
6,2,0,0,1,0,0,6,0,1,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075836/1-05-2020/ts,success
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075831/1-05-2020/ts,success
2,0,0,0,0,0,0,8,0,1,0,0,0,0,2,https://www.eenadu.net/archivespage/archivenewsdetails/220075823/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075816/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075812/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075811/1-05-2020/ts,success
0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,https://www.eenadu.net/archivespage/archivenewsdetails/220075808/1-05-2020/ts,success
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075806/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075804/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075803/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075801/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075800/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075799/1-05-2020/ts,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075946/1-05-2020/ts,success
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075943/1-05-2020/ts,success
