Category,Headline,Link,Date,Month,Year
National,62 cargo flights in 5 days to transport equipment,https://www.thehindu.com/todays-paper/tp-national/62-cargo-flights-in-5-days-to-transport-equipment/article31222826.ece,1,04,2020
National,Donations pour in for COVID-19 fund,https://www.thehindu.com/todays-paper/tp-national/donations-pour-in-for-covid-19-fund/article31222825.ece,1,04,2020
National,Export of medical items to Serbia triggers debate,https://www.thehindu.com/todays-paper/tp-national/export-of-medical-items-to-serbia-triggers-debate/article31222834.ece,1,04,2020
National,Congress urges govt. to get more testing kits,https://www.thehindu.com/todays-paper/tp-national/congress-urges-govt-to-get-more-testing-kits/article31222785.ece,1,04,2020
National,‘3 quasi-subspecies of SARS-CoV-2 in circulation’,https://www.thehindu.com/todays-paper/tp-national/3-quasi-subspecies-of-sars-cov-2-in-circulation/article31222787.ece,1,04,2020
National,INS seeks relief for newspapers,https://www.thehindu.com/todays-paper/tp-national/ins-seeks-relief-for-newspapers/article31222791.ece,1,04,2020
National,Panel formed to coordinate virus research,https://www.thehindu.com/todays-paper/tp-national/panel-formed-to-coordinate-virus-research/article31222810.ece,1,04,2020
National,Centre tells States to help the disabled,https://www.thehindu.com/todays-paper/tp-national/centre-tells-states-to-help-the-disabled/article31222820.ece,1,04,2020
National,Ministry extends relief to motorists,https://www.thehindu.com/todays-paper/tp-national/ministry-extends-relief-to-motorists/article31222788.ece,1,04,2020
National,"Migrants need active support, says Yechury",https://www.thehindu.com/todays-paper/tp-national/migrants-need-active-support-says-yechury/article31222786.ece,1,04,2020
National,Class 5 student from Kashmir writes to PM,https://www.thehindu.com/todays-paper/tp-national/class-5-student-from-kashmir-writes-to-pm/article31223069.ece,1,04,2020
National,Inclement weather adds to farmers’ worries in Punjab and Haryana,https://www.thehindu.com/todays-paper/tp-national/inclement-weather-adds-to-farmers-worries-in-punjab-and-haryana/article31223068.ece,1,04,2020
National,Youth beaten to death in Bihar,https://www.thehindu.com/todays-paper/tp-national/youth-beaten-to-death-in-bihar/article31222809.ece,1,04,2020
National,20 places declared Red Zones in Kashmir as positive cases touch 55,https://www.thehindu.com/todays-paper/tp-national/20-places-declared-red-zones-in-kashmir-as-positive-cases-touch-55/article31222814.ece,1,04,2020
