Category,Headline,Link
thiruvananthapuram,"""ഹരിത ഗാഥ'യുമായി എൻജിഒ യൂണിയൻ
Tuesday May 19, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-19-05-2020/872376
thiruvananthapuram,"ഇംഗ്ലീഷ്‌ ഇന്ത്യൻ ക്ലേ ഫാക്ടറി തൊഴിലാളികൾക്ക് ശമ്പളം നൽകണം
Tuesday May 19, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-19-05-2020/872374
thiruvananthapuram,"1000 പച്ചക്കറിവിത്ത്‌ വിതരണം ചെയ്തു
Tuesday May 19, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-19-05-2020/872371
thiruvananthapuram,"തമിഴ്നാട് സ്വദേശിയും പിടികൂടിയ പൊലീസുകാരും നിരീക്ഷണത്തിൽ
Tuesday May 19, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-19-05-2020/872369
thiruvananthapuram,"മസ്‌കത്തിൽ നിന്ന്‌ മലയാളക്കരയിലേക്ക്‌
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872102
thiruvananthapuram,"കുടുംബശ്രീയുടേത്‌ പ്രധാന പങ്ക്‌: മുഖ്യമന്ത്രി
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872100
thiruvananthapuram,"ലോക്ക്‌ഡൗണിനെ വസന്തകാലമാക്കി ഊർമിള
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872096
thiruvananthapuram,"നിരീക്ഷണത്തിലുള്ളവരുടെ എണ്ണം കൂടുന്നു
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872095
thiruvananthapuram,"ന്യൂനപക്ഷ കോംപിറ്റന്‍ഡ് അതോറിറ്റി പ്രവർത്തനം തുടങ്ങി
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872094
thiruvananthapuram,"അയണിമൂട് പാലം യാഥാർഥ്യമാകുന്നു
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872092
thiruvananthapuram,"വേളി ഫ്ലോട്ടിങ് റസ്റ്റോറന്റ് ഉയർത്തി
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872091
thiruvananthapuram,"ബസ് ജീവനക്കാർക്ക് യാത്രയയപ്പ്
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872087
thiruvananthapuram,"മാനസിക വൈകല്യമുള്ള കുട്ടികൾക്ക് വൈദ്യപരിശോധനയുമായി എസ്‌എഫ്‌ഐ
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872084
thiruvananthapuram,"റീ സൈക്കിൾ കേരളയിൽ വ്യാപാരികളും പങ്കാളികളാകുന്നു
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872080
thiruvananthapuram,"5 പഞ്ചായത്തിന്‌ 1.4 കോടി
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-18-05-2020/872076
thiruvananthapuram,"ജാഗ്രതാ നിർദേശ പത്രിക നൽകി
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-18-05-2020/872074
thiruvananthapuram,"അഞ്ചുതെങ്ങിൽ
Monday May 18, 2020",https://www.deshabhimani.com/news/kerala/news-18-05-2020/872072
thiruvananthapuram,"റീ സൈക്കിള്‍ കേരള ഏറ്റെടുത്ത്‌ ജനങ്ങൾ
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871964
thiruvananthapuram,"നാടിന്റെ കരുതലിലേക്ക്‌ രണ്ടാം വിമാനമെത്തി
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871962
thiruvananthapuram,"മഴയിൽ വീട്‌ തകർന്നു; 4 ജീവിതങ്ങൾ പെരുവഴിയിൽ
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871959
thiruvananthapuram,"‘അതിജീവനത്തിന്റെ നൂൽ’പ്പാലം
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871957
thiruvananthapuram,"ക്വാറന്റൈനിൽ കഴിഞ്ഞിരുന്നയാൾ പുറത്തിറങ്ങി‌ മുങ്ങി
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871955
thiruvananthapuram,"യാത്രക്കാരെ കടത്താൻ ‘സർക്കാർബോർഡ്‌’; കാർ പിടിയിൽ
Sunday May 17, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-17-05-2020/871954
thiruvananthapuram,"ആശങ്ക, പ്രതീക്ഷ, ആഹ്ലാദപ്പെരുമഴ
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871776
thiruvananthapuram,"ഇവിടുണ്ട്‌ ‘കരിങ്കോഴി’ കൂകുന്ന വീട്‌
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871772
thiruvananthapuram,"മാസ്‌ക്‌ ശരിയല്ലേൽ പിടിവീഴും
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871771
thiruvananthapuram,"കോവിഡ്‌‐19: 4 പേർക്ക്‌ രോഗലക്ഷണം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871770
thiruvananthapuram,"അതിർത്തിയിൽ വിജിലൻസ് പരിശോധന
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871767
thiruvananthapuram,"വിദ്യാർഥികൾക്ക്‌ ഹ്രസ്വചിത്ര നിർമാണമത്സരം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871766
thiruvananthapuram,"ആമ്പല്ലൂർ ചമ്പാ പച്ചരി വിപണിയിൽ
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871762
thiruvananthapuram,"പാസ്റ്റർ ചമഞ്ഞ് തട്ടിപ്പ്: പൊലീസ് അന്വേഷണമാരംഭിച്ചു
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871760
thiruvananthapuram,"മൂന്ന്‌ റോഡിന്റെ നവീകരണത്തിന്‌ തുടക്കം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871759
thiruvananthapuram,"സഹകരണ സംഘങ്ങള്‍ വഴി റബർ ശേഖരിക്കണം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871757
thiruvananthapuram,"റോഡ് നിർമാണത്തിന് തുക അനുവദിച്ചു
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871756
thiruvananthapuram,"വെട്ടൂർ പഞ്ചായത്തിൽ കോവിഡ് പ്രതിരോധത്തിലും രാഷ്ട്രീയം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871754
thiruvananthapuram,"മേജർ ഇറിഗേഷൻ പ്രവൃത്തികൾക്ക് 150 ലക്ഷം അനുവദിച്ചു
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871753
thiruvananthapuram,"മധ്യവയസ്കന്റെ തിരോധാനം: അന്വേഷണം ഊർജിതം
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871752
thiruvananthapuram,"ആറ്റിങ്ങലെത്തിയ പ്രവാസികളെ ഹോം ക്വാറന്റൈനിലാക്കി
Saturday May 16, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-16-05-2020/871748
thiruvananthapuram,"അക്ഷീണം അഹോരാത്രം ഇവരുണ്ട്‌
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871543
thiruvananthapuram,"ഭഗവതി വള ഊരി നൽകി
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871542
thiruvananthapuram,"നാടണഞ്ഞത്‌ 602 മലയാളികൾ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871541
thiruvananthapuram,"കേന്ദ്ര സർക്കാർ ഓഫീസിന്‌ മുന്നിൽ സിഐടിയു പ്രതിഷേധം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871540
thiruvananthapuram,"വൈറലാകാൻ ഖാദി മാസ്‌ക്‌
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871538
thiruvananthapuram,"മൃതദേഹം അതിർത്തിയിൽ തടഞ്ഞു
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871531
thiruvananthapuram,"നിരീക്ഷണത്തിൽ- 4561 പേർ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871529
thiruvananthapuram,"സജ്ജം 2500 വളന്റിയർമാർ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871527
thiruvananthapuram,"ഇംഗ്ലീഷ്‌ ഇന്ത്യൻ ക്ലേ ഫാക്ടറി തുറന്ന് പ്രവർത്തിപ്പിക്കണം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871525
thiruvananthapuram,"പച്ചക്കറി വിത്തു വിതരണം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871516
thiruvananthapuram,"സാനിറ്റൈസറും മാസ്‌കും നൽകി
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871513
thiruvananthapuram,"ഗ്രാന്‍ഡ് കെയര്‍ പദ്ധതി ഇന്ന്‌ മുതൽ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871500
thiruvananthapuram,"സഹകരണസംരക്ഷണ മുന്നണിക്ക്‌ വിജയം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871496
thiruvananthapuram,"ഇടിമിന്നലിൽ നാശനഷ്ടം
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871493
thiruvananthapuram,"കർണാടകത്തിൽ നിന്ന്‌ എത്തിയ മത്സ്യത്തൊഴിലാളിയും ഭാര്യയും നിരീക്ഷണത്തിൽ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871482
thiruvananthapuram,"പനവൂരില്‍ മത്സ്യകൃഷിയുമായി ഡിവൈഎഫ്ഐ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871479
thiruvananthapuram,"പുല്ലമ്പാറയിൽ ജനകീയ ഹോട്ടൽ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871478
thiruvananthapuram,"സാനിൈറ്റസറുകൾ നിർമിച്ചു നൽകി
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871474
thiruvananthapuram,"മൂന്നുമുക്ക്‌ - പൂവമ്പാറ റോഡ് വികസനം ദ്രുതഗതിയിൽ
Friday May 15, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-15-05-2020/871470
